TR Date,TR Start Date,TR End Date,Country/Region,Account Preservation Requests Received,Accounts Specified in Requests,Accounts where Data Preserved
2018 H1,1/1/18,6/30/18,Ukraine,1,1,1
2018 H1,1/1/18,6/30/18,United Kingdom,27,66,52
2018 H1,1/1/18,6/30/18,United States of America,1494,3857,2685
2018 H2,7/1/18,12/31/18,Argentina,2,5,5
2018 H2,7/1/18,12/31/18,Armenia,1,1,0
2018 H2,7/1/18,12/31/18,Australia,6,12,4
2018 H2,7/1/18,12/31/18,Belarus,2,6,2
2018 H2,7/1/18,12/31/18,Brazil,7,9,8
2018 H2,7/1/18,12/31/18,Canada,10,66,64
2018 H2,7/1/18,12/31/18,Finland,1,1,1
2018 H2,7/1/18,12/31/18,France,3,5,5
2018 H2,7/1/18,12/31/18,Germany,5,9,6
2018 H2,7/1/18,12/31/18,India,3,4,1
2018 H2,7/1/18,12/31/18,Ireland,1,2,1
2018 H2,7/1/18,12/31/18,Italy,1,1,1
2018 H2,7/1/18,12/31/18,Luxembourg,2,2,1
2018 H2,7/1/18,12/31/18,Netherlands,4,6,5
2018 H2,7/1/18,12/31/18,New Zealand,2,5,2
2018 H2,7/1/18,12/31/18,Norway,2,2,2
2018 H2,7/1/18,12/31/18,Poland,1,1,0
2018 H2,7/1/18,12/31/18,Portugal,1,1,1
2018 H2,7/1/18,12/31/18,Sweden,10,11,11
2018 H2,7/1/18,12/31/18,Switzerland,1,6,6
2018 H2,7/1/18,12/31/18,Ukraine,1,1,1
2018 H2,7/1/18,12/31/18,United Kingdom,32,50,47
2018 H2,7/1/18,12/31/18,United States of America,1724,5346,3789
2018 H2,7/1/18,12/31/18,Venezuela,1,1,0
2019 H1,1/1/19,6/30/19,Argentina,2,3,3
2019 H1,1/1/19,6/30/19,Australia,6,22,10
2019 H1,1/1/19,6/30/19,Austria,1,1,1
2019 H1,1/1/19,6/30/19,Belgium,2,2,2
2019 H1,1/1/19,6/30/19,Brazil,15,80,61
2019 H1,1/1/19,6/30/19,Canada,16,25,22
2019 H1,1/1/19,6/30/19,Denmark,3,3,1
2019 H1,1/1/19,6/30/19,Finland,4,11,5
2019 H1,1/1/19,6/30/19,France,1,1,1
2019 H1,1/1/19,6/30/19,Germany,6,11,9
2019 H1,1/1/19,6/30/19,Greece,1,3,3
2019 H1,1/1/19,6/30/19,India,4,6,4
2019 H1,1/1/19,6/30/19,Ireland,3,3,3
2019 H1,1/1/19,6/30/19,Italy,2,4,4
2019 H1,1/1/19,6/30/19,Japan,1,1,1
2019 H1,1/1/19,6/30/19,Netherlands,5,10,7
2019 H1,1/1/19,6/30/19,New Zealand,2,5,4
2019 H1,1/1/19,6/30/19,Norway,2,2,1
2019 H1,1/1/19,6/30/19,Portugal,1,1,1
2019 H1,1/1/19,6/30/19,Russia,2,4,4
2019 H1,1/1/19,6/30/19,Singapore,1,1,1
2019 H1,1/1/19,6/30/19,Spain,2,2,1
2019 H1,1/1/19,6/30/19,Sweden,11,24,22
2019 H1,1/1/19,6/30/19,Switzerland,2,4,3
2019 H1,1/1/19,6/30/19,Ukraine,3,5,1
2019 H1,1/1/19,6/30/19,United Kingdom,42,102,53
2019 H1,1/1/19,6/30/19,United States of America,2476,6353,4521
2019 H2,7/1/19,12/31/19,Argentina,3,3,3
2019 H2,7/1/19,12/31/19,Australia,12,30,12
2019 H2,7/1/19,12/31/19,Belgium,2,2,0
2019 H2,7/1/19,12/31/19,Brazil,98,663,344
2019 H2,7/1/19,12/31/19,Canada,16,30,23
2019 H2,7/1/19,12/31/19,Denmark,3,8,8
2019 H2,7/1/19,12/31/19,Finland,5,11,8
2019 H2,7/1/19,12/31/19,France,1,1,0
2019 H2,7/1/19,12/31/19,Germany,13,22,18
2019 H2,7/1/19,12/31/19,India,2,4,1
2019 H2,7/1/19,12/31/19,Ireland,5,5,4
2019 H2,7/1/19,12/31/19,Italy,5,7,6
2019 H2,7/1/19,12/31/19,Mexico,2,4,3
2019 H2,7/1/19,12/31/19,Netherlands,5,6,5
2019 H2,7/1/19,12/31/19,New Zealand,2,11,1
2019 H2,7/1/19,12/31/19,North Macedonia,2,2,2
2019 H2,7/1/19,12/31/19,Norway,2,5,5
2019 H2,7/1/19,12/31/19,Portugal,2,2,2
2019 H2,7/1/19,12/31/19,South Korea,1,1,1
2019 H2,7/1/19,12/31/19,Spain,1,1,1
2019 H2,7/1/19,12/31/19,Sweden,13,21,19
2019 H2,7/1/19,12/31/19,Switzerland,1,1,0
2019 H2,7/1/19,12/31/19,Ukraine,1,1,1
2019 H2,7/1/19,12/31/19,United Kingdom,48,78,63
2019 H2,7/1/19,12/31/19,United States of America,2522,6741,4798
