adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000714395-23-000015	714395	GERMAN AMERICAN BANCORP, INC.	6022	US	IN	JASPER	47546	711 MAIN ST	P O BOX 810	8124821314	US	IN	JASPER	47546	711 MAIN STREET		US	IN	351547518	GERMAN AMERICAN BANCORP	19950510	1-LAF	0	1231	8-K	20230331			20230329	2023-03-29 09:13:00.0	0	0	gabc-20230327_htm.xml	1	
0000723125-23-000022	723125	MICRON TECHNOLOGY INC	3674	US	ID	BOISE	83716-9632	8000 S FEDERAL WAY	PO BOX 6	2083684000	US	ID	BOISE	83716-9632	8000 S FEDERAL WAY	PO BOX 6	US	DE	751618004			1-LAF	0	0831	10-Q	20230228	2023	Q2	20230329	2023-03-29 16:48:00.0	0	1	mu-20230302_htm.xml	1	
0000723254-23-000005	723254	CINTAS CORP	2320	US	OH	CINCINNATI	45262	6800 CINTAS BLVD	P O BOX 625737	5134591200	US	OH	CINCINNATI	45262	6800 CINTAS BOULEVARD	P O BOX 625737	US	WA	311188630			1-LAF	0	0531	8-K	20230331			20230329	2023-03-29 08:32:00.0	0	0	ctas-20230329_htm.xml	1	
0000726854-23-000093	726854	CITY HOLDING CO	6021	US	WV	CHARLESTON	25313	25 GATEWATER ROAD	P O BOX 7520	3047691100	US	WV	CHARLESTON	25313	25 GATEWATER ROAD	P O BOX 7520	US	WV	550619957			1-LAF	0	1231	8-K	20230331			20230329	2023-03-29 16:37:00.0	0	0	chco-20230329_htm.xml	1	
0000750686-23-000110	750686	CAMDEN NATIONAL CORP	6021	US	ME	CAMDEN	04843	TWO ELM ST		2072368821	US	ME	CAMDEN	04843	2 ELM ST		US	ME	010413282			2-ACC	0	1231	8-K	20230331			20230329	2023-03-29 16:12:00.0	0	0	cac-20230329_htm.xml	1	
0000794367-23-000030	794367	MACY'S, INC.	5311	US	NY	NEW YORK	10001	151 WEST 34TH STREET		5135797585	US	NY	NEW YORK	10001	151 WEST 34TH STREET		US	DE	133324058	FEDERATED DEPARTMENT STORES INC /DE/	19950307	1-LAF	0	0131	8-K	20230331			20230329	2023-03-29 07:02:00.0	0	0	n-20230329_htm.xml	1	
0000796343-23-000055	796343	ADOBE INC.	7372	US	CA	SAN JOSE	95110-2704	345 PARK AVE		4085366000	US	CA	SAN JOSE	95110-2704	345 PARK AVENUE		US	DE	770019522	ADOBE SYSTEMS INC	19940208	1-LAF	0	1130	10-Q	20230228	2023	Q1	20230329	2023-03-29 17:16:00.0	0	1	adbe-20230303_htm.xml	1	
0000815097-23-000035	815097	CARNIVAL CORP	4400	US	FL	MIAMI	33178-2428	3655 N W 87TH AVE	PO BOX 1347	3055992600	US	FL	MIAMI	33178	3655 N W 87TH AVE	PO BOX 1347	US	DE	591562976	CARNIVAL CRUISE LINES INC	19920703	1-LAF	0	1130	10-Q	20230228	2023	Q1	20230329	2023-03-29 10:35:00.0	0	1	ccl-20230228_htm.xml	2	1125259
0000822818-23-000021	822818	CLEAN HARBORS INC	4955	US	MA	NORWELL	02061-9149	42 LONGWATER DRIVE	P.O. BOX 9149	781-792-5000	US	MA	NORWELL	02061-9149	42 LONGWATER DRIVE		US	MA	042997780			1-LAF	0	1231	8-K	20230331			20230329	2023-03-29 08:36:00.0	0	0	clh-20230329_htm.xml	1	
0000829224-23-000027	829224	STARBUCKS CORP	5810	US	WA	SEATTLE	98124-1067	P O BOX 34067		2064471575	US	WA	SEATTLE	98134	2401 UTAH AVENUE SOUTH		US	WA	911325671			1-LAF	0	0930	8-K	20230331			20230329	2023-03-29 16:48:00.0	0	0	sbux-20230323_htm.xml	1	
0000868278-23-000004	868278	PROPHASE LABS, INC.	2834	US	NY	NEW YORK	11530	711 STEWART AVE, SUITE 200	GARDEN CITY	(215) 345-0919	US	NY	NEW YORK	11530	711 STEWART AVE, SUITE 200	GARDEN CITY	US	DE	232577138	QUIGLEY CORP	19930328	4-NON	0	1231	10-K	20221231	2022	FY	20230329	2023-03-29 16:09:00.0	0	1	prph-20221231_htm.xml	1	
0000883948-23-000030	883948	ATLANTIC UNION BANKSHARES CORP	6022	US	VA	RICHMOND	23219	1051 EAST CARY STREET	SUITE 1200	800-990-4828	US	VA	RICHMOND	23219	1051 EAST CARY STREET	SUITE 1200	US	VA	540412820	UNION BANKSHARES CORP	20140430	1-LAF	0	1231	8-K	20230331			20230329	2023-03-29 07:47:00.0	0	0	aub-20230329x8k_htm.xml	1	
0000885245-23-000008	885245	BUCKLE INC	5651	US	NE	KEARNEY	68847	2407 W 24TH ST		3082368491	US	NE	KEARNEY	68848-1480	P O BOX 1480		US	NE	470366193			1-LAF	1	0131	10-K	20230131	2022	FY	20230329	2023-03-29 15:35:00.0	0	1	bke-20230128_htm.xml	1	
0000886206-23-000011	886206	FRANKLIN COVEY CO	8741	US	UT	SALT LAKE CITY	84119-2331	2200 W PARKWAY BLVD		8018175030	US	UT	SALT LAKE CITY	84119	2200 W PARKWAY BLVD		US	UT	870401551	FRANKLIN QUEST CO	19940218	2-ACC	0	0831	8-K	20230331			20230329	2023-03-29 16:11:00.0	0	0	fc-20230329x8k_htm.xml	1	
0000886346-23-000073	886346	KADANT INC	3550	US	MA	WESTFORD	01886	ONE TECHNOLOGY PARK DRIVE		(978) 776-2000	US	MA	WESTFORD	01886	ONE TECHNOLOGY PARK DRIVE		US	DE	521762325	THERMO FIBERTEK INC	19930328	1-LAF	0		DEF 14A				20230329	2023-03-29 08:53:00.0	0	0	kai-20230328_htm.xml	1	
0000893538-23-000023	893538	SM ENERGY CO	1311	US	CO	DENVER	80203	1700 LINCOLN STREET	SUITE 3200	303-861-8140	US	CO	DENVER	80203	1700 LINCOLN STREET	SUITE 3200	US	DE	410518430	ST MARY LAND & EXPLORATION CO	19940228	1-LAF	0		PRE 14A				20230329	2023-03-29 16:31:00.0	0	0	sm-20230329_htm.xml	1	
0000893847-23-000005	893847	HAWTHORN BANCSHARES, INC.	6021	US	MO	JEFFERSON CITY	65101	132 EAST HIGH STREET		(573)761-6100	US	MO	JEFFERSON CITY	65102	P. O. BOX 688		US	MO	431626350	EXCHANGE NATIONAL BANCSHARES INC	19940323	4-NON	0	1231	10-K	20221231	2022	FY	20230329	2023-03-29 17:12:00.0	0	1	hwbk-20221231_htm.xml	1	
0000897101-23-000130	22701	PINEAPPLE ENERGY INC.	3661	US	MN	MINNETONKA	55343	10900 RED CIRCLE DRIVE		9529961674	US	MN	MINNETONKA	55343	10900 RED CIRCLE DRIVE		US	MN	410957999	PINEAPPLE HOLDINGS, INC.	20220328	4-NON	0	1231	8-K	20230331			20230329	2023-03-29 08:45:00.0	0	0	pegy230377_8k_htm.xml	1	
0000908311-23-000011	908311	CREATIVE MEDIA & COMMUNITY TRUST CORP	6798	US	TX	DALLAS	75252	17950 PRESTON RD	SUITE 600	972-349-3200	US	TX	DALLAS	75252	17950 PRESTON RD	SUITE 600	US	MD	756446078	CIM COMMERCIAL TRUST CORP	20140429	4-NON	0	1231	8-K	20230331			20230329	2023-03-29 17:26:00.0	0	0	cmct-20230328_htm.xml	1	
0000914475-23-000023	914475	NEUROCRINE BIOSCIENCES INC	2836	US	CA	SAN DIEGO	92130	12780 EL CAMINO REAL		(858) 617-7600	US	CA	SAN DIEGO	92130	12780 EL CAMINO REAL		US	DE	330525145			1-LAF	0	1231	8-K	20230331			20230329	2023-03-28 20:45:00.0	0	0	nbix-20230328_htm.xml	1	
0000927089-23-000027	1391933	QUAINT OAK BANCORP INC	6036	US	PA	SOUTHAMPTON	18966	501 KNOWLES AVENUE		215 364 4059	US	PA	SOUTHAMPTON	18966	501 KNOWLES AVENUE		US	PA	352293957			4-NON	0	1231	8-K	20230131			20230329	2023-03-29 15:44:00.0	0	0	qnto20230328_8k_htm.xml	1	
0000929638-23-000999	1493761	TURTLE BEACH CORP	3669	US	NY	WHITE PLAINS	10601	44 SOUTH BROADWAY	4TH FLOOR	888-496-8001	US	NY	WHITE PLAINS	10601	44 SOUTH BROADWAY	4TH FLOOR	US	NV	272767540	PARAMETRIC SOUND CORP	20100609	2-ACC	0	1231	8-K	20230331			20230329	2023-03-28 21:41:00.0	0	0	ab8k_htm.xml	1	
0000929638-23-001005	1409493	CHIMERA INVESTMENT CORP	6798	US	NY	NEW YORK	10022	520 MADISON AVENUE	32ND FLOOR	212-626-2300	US	NY	NEW YORK	10022	520 MADISON AVENUE	32ND FLOOR	US	MD	260630461			1-LAF	0	1231	8-K	20230331			20230329	2023-03-29 16:05:00.0	0	0	a8k_htm.xml	1	
0000937834-23-000011	1110795	METLIFE POLICYHOLDER TRUST	6311	US	DE	WILMINGTON	19890	C/O WILMINGTON TRUST CO	1100 NORTH MARKET STREET	3026518856	US	DE	WILMINGTON	19890	C/O WILMINGTON TRUST CO	1100 NORTH MARKET STREET	US	DE	000000000			4-NON	0	1231	10-K	20221231	2022	FY	20230329	2023-03-29 16:38:00.0	0	1	mpt-20221231_htm.xml	1	
0000945841-23-000066	945841	POOL CORP	5090	US	LA	COVINGTON	70433-5001	109 NORTHPARK BLVD	4TH FLOOR	9858925521	US	LA	COVINGTON	70433-5001	109 NORTHPARK BLVD	4TH FLOOR	US	DE	363943363	SCP POOL CORP	19950526	1-LAF	0		DEF 14A				20230329	2023-03-29 16:57:00.0	0	0	pool-20230329_htm.xml	1	
0000947871-23-000389	1818644	AEYE, INC.	3714	US	CA	DUBLIN	94568	ONE PARK PLACE, SUITE 200		925-400-4366	US	CA	DUBLIN	94568	ONE PARK PLACE, SUITE 200		US	DE	371827430	CF FINANCE ACQUISITION CORP. III	20200717	4-NON	0	1231	8-K	20230331			20230329	2023-03-28 19:31:00.0	0	0	ss1917856_8k_htm.xml	1	
0000950170-23-010373	1888447	EXCELERATE ENERGY, INC.	4924	US	TX	THE WOODLANDS	77381	2445 TECHNOLOGY FOREST BLVD.	LEVEL 6	8328137100	US	TX	THE WOODLANDS	77381	2445 TECHNOLOGY FOREST BLVD.	LEVEL 6	US	DE	872878691			4-NON	0	1231	10-K	20221231	2022	FY	20230329	2023-03-28 17:48:00.0	0	1	ee-20221231_htm.xml	1	
0000950170-23-010380	1768224	ARCTURUS THERAPEUTICS HOLDINGS INC.	2834	US	CA	SAN DIEGO	92121	10628 SCIENCE CENTER DRIVE	SUITE 250	8589002660	US	CA	SAN DIEGO	92121	10628 SCIENCE CENTER DRIVE	SUITE 250	US	DE	000000000			4-NON	0	1231	10-K	20221231	2022	FY	20230329	2023-03-28 18:34:00.0	0	1	arct-20221231_htm.xml	1	
0000950170-23-010394	944695	HANOVER INSURANCE GROUP, INC.	6331	US	MA	WORCESTER	01653	440 LINCOLN ST		5088551000	US	MA	WORCESTER	01653	440 LINCOLN ST		US	DE	043263626	ALLMERICA FINANCIAL CORP	19950501	1-LAF	0	1231	8-K	20230331			20230329	2023-03-28 19:32:00.0	0	0	thg-20230324_htm.xml	1	
0000950170-23-010402	1785592	LEAFLY HOLDINGS, INC. /DE	7372	US	NY	NEW YORK	10022	641 LEXINGTON AVENUE, 18TH FLOOR		2128188638	US	NY	NEW YORK	10022	641 LEXINGTON AVENUE, 18TH FLOOR		US	DE	000000000	MERIDA MERGER CORP. I	20190815	4-NON	0	1231	10-K	20221231	2022	FY	20230329	2023-03-28 20:05:00.0	0	1	lfly-20221231_htm.xml	1	
0000950170-23-010406	1031623	GULF ISLAND FABRICATION INC	3440	US	TX	THE WOODLANDS	77380	2170 BUCKTHORNE PL	SUITE 420	713-714-6123	US	TX	THE WOODLANDS	77380	2170 BUCKTHORNE PL	SUITE 420	US	LA	721147390			4-NON	0	1231	10-K	20221231	2022	FY	20230329	2023-03-28 20:23:00.0	0	1	gifi-20221231_htm.xml	1	
0000950170-23-010428	1527599	SYNLOGIC, INC.	2834	US	MA	CAMBRIDGE	02142	301 BINNEY STREET	SUITE 402	617-401-9975	US	MA	CAMBRIDGE	02142	301 BINNEY STREET	SUITE 402	US	DE	261824804	MIRNA THERAPEUTICS, INC.	20110809	4-NON	0	1231	10-K	20221231	2022	FY	20230329	2023-03-29 06:31:00.0	0	1	sybx-20221231_htm.xml	1	
0000950170-23-010430	1527599	SYNLOGIC, INC.	2834	US	MA	CAMBRIDGE	02142	301 BINNEY STREET	SUITE 402	617-401-9975	US	MA	CAMBRIDGE	02142	301 BINNEY STREET	SUITE 402	US	DE	261824804	MIRNA THERAPEUTICS, INC.	20110809	4-NON	0	1231	8-K	20230331			20230329	2023-03-29 06:35:00.0	0	0	sybx-20230329_htm.xml	1	
0000950170-23-010431	718937	STAAR SURGICAL CO	3851	US	CA	MONROVIA	91016	1911 WALKER AVE		6263037902	US	CA	MONROVIA	91016	1911 WALKER AVE		US	DE	953797439	STAAR SURGICAL COMPANY	19920703	1-LAF	0	1231	8-K	20230331			20230329	2023-03-29 07:01:00.0	0	0	staa-20230324_htm.xml	1	
0000950170-23-010432	1829802	SENSEI BIOTHERAPEUTICS, INC.	2834	US	MD	GAITHERSBURG	20879	620 PROFESSIONAL DRIVE		(240) 243-8000	US	MD	GAITHERSBURG	20879	620 PROFESSIONAL DRIVE		US	DE	000000000			4-NON	0	1231	10-K	20221231	2022	FY	20230329	2023-03-29 07:31:00.0	0	1	snse-20221231_htm.xml	1	
0000950170-23-010433	1824734	BERKSHIRE GREY, INC.	3569	US	MA	BEDFORD	01730	140 SOUTH ROAD		(833) 848-9900	US	MA	BEDFORD	01730	140 SOUTH ROAD		US	DE	000000000	REVOLUTION ACCELERATION ACQUISITION CORP	20201119	4-NON	0	1231	8-K	20230331			20230329	2023-03-29 07:47:00.0	0	0	bgry-20230329_htm.xml	1	
0000950170-23-010435	1923840	THIRD HARMONIC BIO, INC.	2834	US	CA	SAN FRANCISCO	94111	1700 MONTGOMERY STREET	SUITE 210	2097272457	US	CA	SAN FRANCISCO	94111	1700 MONTGOMERY STREET	SUITE 210	US	DE	834553503			4-NON	0	1231	10-K	20221231	2022	FY	20230329	2023-03-29 08:01:00.0	0	1	thrd-20221231_htm.xml	1	
0000950170-23-010437	1923840	THIRD HARMONIC BIO, INC.	2834	US	CA	SAN FRANCISCO	94111	1700 MONTGOMERY STREET	SUITE 210	2097272457	US	CA	SAN FRANCISCO	94111	1700 MONTGOMERY STREET	SUITE 210	US	DE	834553503			4-NON	0	1231	8-K	20230331			20230329	2023-03-29 08:05:00.0	0	0	thrd-20230329_htm.xml	1	
0000950170-23-010439	1674416	CRISPR THERAPEUTICS AG	2836	CH		ZUG	CH-6300	BAARERSTRASSE 14		6173154600	CH		ZUG	CH-6300	BAARERSTRASSE 14		CH		473173478			1-LAF	0	1231	8-K	20230331			20230329	2023-03-29 08:09:00.0	0	0	crsp-20230328_htm.xml	1	
0000950170-23-010443	717954	UNIFIRST CORP	7200	US	MA	WILMINGTON	01887	68 JONSPIN RD		(978) 658-8888	US	MA	WILMINGTON	01887	68 JONSPIN ROAD		US	MA	042103460	INTERSTATE UNIFORM SERVICES CORP/MA	19840410	1-LAF	0	0831	8-K	20230331			20230329	2023-03-29 08:17:00.0	0	0	unf-20230329_htm.xml	1	
0000950170-23-010447	1824734	BERKSHIRE GREY, INC.	3569	US	MA	BEDFORD	01730	140 SOUTH ROAD		(833) 848-9900	US	MA	BEDFORD	01730	140 SOUTH ROAD		US	DE	000000000	REVOLUTION ACCELERATION ACQUISITION CORP	20201119	4-NON	0	1231	10-K	20221231	2022	FY	20230329	2023-03-29 08:37:00.0	0	1	bgry-20221231_htm.xml	1	
0000950170-23-010449	723531	PAYCHEX INC	8700	US	NY	ROCHESTER	14625-0397	911 PANORAMA TRAIL S		5853856666	US	NY	ROCHESTER	14625-0397	911 PANORAMA TRAIL SOUTH		US	DE	161124166			1-LAF	0	0531	8-K	20230331			20230329	2023-03-29 08:47:00.0	0	0	payx-20230329_htm.xml	1	
0000950170-23-010451	1161728	MGE ENERGY INC	4900	US	WI	MADISON	53701-1231	133 SOUTH BLAIR STREET	P.O. BOX 1231	(608) 252-7000	US	WI	MADISON	53701-1231	133 SOUTH BLAIR STREET	P.O. BOX 1231	US	WI	392040501			1-LAF	0		DEF 14A				20230329	2023-03-29 09:01:00.0	0	0	mgee-20230329_htm.xml	2	61339
0000950170-23-010454	1893262	J.P. MORGAN REAL ESTATE INCOME TRUST, INC.	6798	US	NY	NEW YORK	10172	277 PARK AVENUE		212-270-6000	US	NY	NEW YORK	10172	277 PARK AVENUE		US	MD	000000000			4-NON	0	1231	10-K	20221231	2022	FY	20230329	2023-03-29 09:39:00.0	0	1	ck0001893262-20221231_htm.xml	1	
0000950170-23-010497	1823794	ARKO CORP.	5412	US	VA	RICHMOND	23227	8565 MAGELLAN PKWY	SUITE 400	804-730-1568	US	VA	RICHMOND	23227	8565 MAGELLAN PKWY	SUITE 400	US	DE	852784337			1-LAF	0	1231	8-K	20230331			20230329	2023-03-29 13:00:00.0	0	0	arko-20230329_htm.xml	1	
0000950170-23-010585	1572334	VIRGINIA NATIONAL BANKSHARES CORP	6021	US	VA	CHARLOTTESVILLE	22911	404 PEOPLE PLACE		434-817-7676	US	VA	CHARLOTTESVILLE	22911	404 PEOPLE PLACE		US	VA	000000000			4-NON	0	1231	10-K	20221231	2022	FY	20230329	2023-03-29 16:03:00.0	0	1	vabk-20221231_htm.xml	1	
0000950170-23-010589	1835022	COYA THERAPEUTICS, INC.	2834	US	TX	HOUSTON	77024	12645 MEMORIAL DR., SUITE F1 #305		650.739.3939	US	TX	HOUSTON	77024	12645 MEMORIAL DR., SUITE F1 #305		US	DE	000000000			4-NON	0	1231	8-K	20230331			20230329	2023-03-29 16:05:00.0	0	0	coya-20230329_htm.xml	1	
0000950170-23-010592	1833769	HYPERFINE, INC.	3845	US	CT	GUILFORD	06437	351 NEW WHITFIELD STREET		866-796-6767	US	CT	GUILFORD	06437	351 NEW WHITFIELD STREET		US	DE	000000000	HEALTHCOR CATALIO ACQUISITION CORP.	20201124	4-NON	0	1231	8-K	20230331			20230329	2023-03-29 16:06:00.0	0	0	hypr-20230324_htm.xml	1	
0000950170-23-010593	1653087	ALECTOR, INC.	2836	US	CA	SOUTH SAN FRANCISCO	94080	131 OYSTER POINT BLVD., SUITE 600		415-231-5660	US	CA	SOUTH SAN FRANCISCO	94080	131 OYSTER POINT BLVD., SUITE 600				822933343	ALECTOR LLC	20150915	1-LAF	0	1231	8-K	20230331			20230329	2023-03-29 16:07:00.0	0	0	alec-20230328_htm.xml	1	
0000950170-23-010594	88000	SCOTT'S LIQUID GOLD - INC.	2844	US	CO	GREENWOOD VILLAGE	80111	8400 E. CRESCENT PARKWAY  #450	SUITE 450	3033734860	US	CO	GREENWOOD VILLAGE	80111	8400 E. CRESCENT PARKWAY  #450	SUITE 450	US	CO	840920811	SCOTTS LIQUID GOLD INC	19920703	4-NON	0	1231	10-K	20221231	2022	FY	20230329	2023-03-29 16:07:00.0	0	1	slgd-20221231_htm.xml	1	
0000950170-23-010597	1627223	CHEMOURS CO	2800	US	DE	WILMINGTON	19801	1007 MARKET STREET		302 773 1000	US	DE	WILMINGTON	19801	1007 MARKET STREET		US	DE	464845564	CHEMOURS COMPANY, LLC	20141205	1-LAF	0	1231	8-K	20230331			20230329	2023-03-29 16:08:00.0	0	0	cc-20230323_htm.xml	1	
0000950170-23-010599	1835022	COYA THERAPEUTICS, INC.	2834	US	TX	HOUSTON	77024	12645 MEMORIAL DR., SUITE F1 #305		650.739.3939	US	TX	HOUSTON	77024	12645 MEMORIAL DR., SUITE F1 #305		US	DE	000000000			4-NON	0	1231	10-K	20221231	2022	FY	20230329	2023-03-29 16:08:00.0	0	1	coya-20221231_htm.xml	1	
0000950170-23-010600	1272842	AIRGAIN INC	3663	US	CA	SAN DIEGO	92130	3611 VALLEY CENTRE DRIVE	SUITE 150	(760) 579-0200	US	CA	SAN DIEGO	92130	3611 VALLEY CENTRE DRIVE	SUITE 150			954523882			4-NON	0	1231	8-K	20230331			20230329	2023-03-29 16:08:00.0	0	0	airg-20230329_htm.xml	1	
0000950170-23-010603	818033	HERON THERAPEUTICS, INC. /DE/	2834	US	CA	SAN DIEGO	92121	4242 CAMPUS POINT COURT, SUITE 200		8582514400	US	CA	SAN DIEGO	92121	4242 CAMPUS POINT COURT, SUITE 200		US	DE	942875566	AP PHARMA INC /DE/	20010511	4-NON	0	1231	10-K	20221231	2022	FY	20230329	2023-03-29 16:11:00.0	0	1	hrtx-20221231_htm.xml	1	
0000950170-23-010604	1786205	ARCELLX, INC.	2836	US	MD	GAITHERSBURG	20878	25 WEST WATKINS MILL ROAD	SUITE A	240-723-6641	US	MD	GAITHERSBURG	20878	25 WEST WATKINS MILL ROAD	SUITE A	US	DE	472855917			4-NON	0	1231	8-K	20230331			20230329	2023-03-29 16:11:00.0	0	0	aclx-20230329_htm.xml	1	
0000950170-23-010605	1848323	LIVE OAK CRESTVIEW CLIMATE ACQUISITION CORP.	6770	US	TN	MEMPHIS	38117	4921 WILLIAM ARNOLD ROAD		(901) 685-2865	US	TN	MEMPHIS	38117	4921 WILLIAM ARNOLD ROAD		US	DE	862044161			4-NON	0	1231	10-K	20221231	2022	FY	20230329	2023-03-29 16:12:00.0	0	1	locc-20221231_htm.xml	1	
0000950170-23-010606	1776738	COLUMBIA CARE INC.	0100	US	NY	NEW YORK	10019	680 FIFTH AVENUE, 24TH FLOOR		2125543424	US	NY	NEW YORK	10019	680 FIFTH AVENUE, 24TH FLOOR		CA	BC	981488978			4-NON	0	1231	10-K	20221231	2022	FY	20230329	2023-03-29 16:13:00.0	0	1	cchwf-20221231_htm.xml	1	
0000950170-23-010609	1641281	BOLT BIOTHERAPEUTICS, INC.	2834	US	CA	REDWOOD CITY	94063	900 CHESAPEAKE DRIVE		650-665-9295	US	CA	REDWOOD CITY	94063	900 CHESAPEAKE DRIVE		US	DE	472804636	BOLT THERAPEUTICS, INC.	20150504	4-NON	0	1231	8-K	20230331			20230329	2023-03-29 16:14:00.0	0	0	bolt-20230329_htm.xml	1	
