Plugin,Metric
disk,{{ HOSTNAME }}.disk-{{ DISK_NAME }}.disk_time
disk,{{ HOSTNAME }}.disk-{{ DISK_NAME }}.pending_operations
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.bytes-indices_cache_field_size
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.bytes-indices_merges_current-size
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.bytes-indices_merges_total-size
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.bytes-indices_store_size
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.bytes-jvm_mem_heap-committed
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.bytes-jvm_mem_heap-used
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.bytes-jvm_mem_non-heap-committed
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.bytes-jvm_mem_non-heap-used
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.bytes-transport_rx_size
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.bytes-transport_tx_size
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-http_total_open
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-indices_cache_field_eviction
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-indices_docs_deleted
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-indices_flush_time
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-indices_flush_total
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-indices_get_exists-time
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-indices_get_exists-total
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-indices_get_missing-time
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-indices_get_missing-total
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-indices_get_time
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-indices_get_total
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-indices_indexing_delete-time
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-indices_indexing_delete-total
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-indices_indexing_index-time
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-indices_indexing_index-total
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-indices_merges_time
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-indices_merges_total
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-indices_refresh_time
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-indices_refresh_total
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-indices_search_fetch-time
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-indices_search_fetch-total
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-indices_search_query-time
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-indices_search_query-total
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-indices_store_throttle-time
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-jvm_gc_count
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-jvm_gc_old-count
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-jvm_gc_old-time
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-jvm_gc_time
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_bulk_completed
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_bulk_rejected
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_flush_completed
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_flush_rejected
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_generic_completed
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_generic_rejected
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_get_completed
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_get_rejected
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_index_completed
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_index_rejected
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_refresh_completed
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_refresh_rejected
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_search_completed
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_search_rejected
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_snapshot_completed
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_snapshot_rejected
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_warmer_completed
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-thread_pool_warmer_rejected
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-transport_rx_count
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.counter-transport_tx_count
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-http_current_open
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-indices_docs_count
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-indices_get_current
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-indices_indexing_delete-current
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-indices_indexing_index-current
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-indices_merges_current
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-indices_merges_current-docs
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-indices_merges_total-docs
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-indices_search_fetch-current
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-indices_search_open-contexts
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-indices_search_query-current
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-jvm_threads_count
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-jvm_threads_peak
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-process_open_file_descriptors
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_bulk_active
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_bulk_largest
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_bulk_queue
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_bulk_threads
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_flush_active
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_flush_largest
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_flush_queue
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_flush_threads
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_generic_active
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_generic_largest
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_generic_queue
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_generic_threads
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_get_active
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_get_largest
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_get_queue
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_get_threads
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_index_active
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_index_largest
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_index_queue
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_index_threads
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_refresh_active
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_refresh_largest
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_refresh_queue
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_refresh_threads
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_search_active
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_search_largest
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_search_queue
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_search_threads
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_snapshot_active
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_snapshot_largest
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_snapshot_queue
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_snapshot_threads
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_warmer_active
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_warmer_largest
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_warmer_queue
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-thread_pool_warmer_threads
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.gauge-transport_server_open
elasticsearch,{{ HOSTNAME }}.elasticsearch-github-enterprise.percent-jvm_mem_heap-used-percent
fhcount,{{ HOSTNAME }}.fhcount.file_handles-max
fhcount,{{ HOSTNAME }}.fhcount.file_handles-unused
fhcount,{{ HOSTNAME }}.fhcount.file_handles-used
haproxy,{{ HOSTNAME }}.haproxy-backend-403backend.counter-check_transitions
haproxy,{{ HOSTNAME }}.haproxy-backend-403backend.counter-retries
haproxy,{{ HOSTNAME }}.haproxy-backend-403backend.counter-session_total
haproxy,{{ HOSTNAME }}.haproxy-backend-403backend.derive-bytes_in
haproxy,{{ HOSTNAME }}.haproxy-backend-403backend.derive-bytes_out
haproxy,{{ HOSTNAME }}.haproxy-backend-403backend.derive-denied_request
haproxy,{{ HOSTNAME }}.haproxy-backend-403backend.derive-denied_response
haproxy,{{ HOSTNAME }}.haproxy-backend-403backend.derive-error_connection
haproxy,{{ HOSTNAME }}.haproxy-backend-403backend.derive-error_response
haproxy,{{ HOSTNAME }}.haproxy-backend-403backend.derive-redistributed
haproxy,{{ HOSTNAME }}.haproxy-backend-403backend.derive-response_1xx
haproxy,{{ HOSTNAME }}.haproxy-backend-403backend.derive-response_2xx
haproxy,{{ HOSTNAME }}.haproxy-backend-403backend.derive-response_3xx
haproxy,{{ HOSTNAME }}.haproxy-backend-403backend.derive-response_4xx
haproxy,{{ HOSTNAME }}.haproxy-backend-403backend.derive-response_5xx
haproxy,{{ HOSTNAME }}.haproxy-backend-403backend.derive-response_other
haproxy,{{ HOSTNAME }}.haproxy-backend-403backend.gauge-queue_current
haproxy,{{ HOSTNAME }}.haproxy-backend-403backend.gauge-queue_max
haproxy,{{ HOSTNAME }}.haproxy-backend-403backend.gauge-session_current
haproxy,{{ HOSTNAME }}.haproxy-backend-403backend.gauge-session_limit
haproxy,{{ HOSTNAME }}.haproxy-backend-403backend.gauge-session_max
haproxy,{{ HOSTNAME }}.haproxy-backend-403backend.gauge-session_rate
haproxy,{{ HOSTNAME }}.haproxy-backend-403backend.gauge-session_rate_max
haproxy,{{ HOSTNAME }}.haproxy-backend-414url_too_long.counter-check_transitions
haproxy,{{ HOSTNAME }}.haproxy-backend-414url_too_long.counter-retries
haproxy,{{ HOSTNAME }}.haproxy-backend-414url_too_long.counter-session_total
haproxy,{{ HOSTNAME }}.haproxy-backend-414url_too_long.derive-bytes_in
haproxy,{{ HOSTNAME }}.haproxy-backend-414url_too_long.derive-bytes_out
haproxy,{{ HOSTNAME }}.haproxy-backend-414url_too_long.derive-denied_request
haproxy,{{ HOSTNAME }}.haproxy-backend-414url_too_long.derive-denied_response
haproxy,{{ HOSTNAME }}.haproxy-backend-414url_too_long.derive-error_connection
haproxy,{{ HOSTNAME }}.haproxy-backend-414url_too_long.derive-error_response
haproxy,{{ HOSTNAME }}.haproxy-backend-414url_too_long.derive-redistributed
haproxy,{{ HOSTNAME }}.haproxy-backend-414url_too_long.derive-response_1xx
haproxy,{{ HOSTNAME }}.haproxy-backend-414url_too_long.derive-response_2xx
haproxy,{{ HOSTNAME }}.haproxy-backend-414url_too_long.derive-response_3xx
haproxy,{{ HOSTNAME }}.haproxy-backend-414url_too_long.derive-response_4xx
haproxy,{{ HOSTNAME }}.haproxy-backend-414url_too_long.derive-response_5xx
haproxy,{{ HOSTNAME }}.haproxy-backend-414url_too_long.derive-response_other
haproxy,{{ HOSTNAME }}.haproxy-backend-414url_too_long.gauge-queue_current
haproxy,{{ HOSTNAME }}.haproxy-backend-414url_too_long.gauge-queue_max
haproxy,{{ HOSTNAME }}.haproxy-backend-414url_too_long.gauge-session_current
haproxy,{{ HOSTNAME }}.haproxy-backend-414url_too_long.gauge-session_limit
haproxy,{{ HOSTNAME }}.haproxy-backend-414url_too_long.gauge-session_max
haproxy,{{ HOSTNAME }}.haproxy-backend-414url_too_long.gauge-session_rate
haproxy,{{ HOSTNAME }}.haproxy-backend-414url_too_long.gauge-session_rate_max
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_mps.counter-check_transitions
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_mps.counter-downtime
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_mps.counter-retries
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_mps.counter-session_total
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_mps.derive-bytes_in
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_mps.derive-bytes_out
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_mps.derive-denied_request
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_mps.derive-denied_response
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_mps.derive-error_connection
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_mps.derive-error_response
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_mps.derive-redistributed
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_mps.derive-response_1xx
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_mps.derive-response_2xx
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_mps.derive-response_3xx
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_mps.derive-response_4xx
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_mps.derive-response_5xx
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_mps.derive-response_other
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_mps.gauge-queue_current
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_mps.gauge-queue_max
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_mps.gauge-session_current
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_mps.gauge-session_limit
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_mps.gauge-session_max
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_mps.gauge-session_rate
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_mps.gauge-session_rate_max
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_token.counter-check_transitions
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_token.counter-downtime
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_token.counter-retries
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_token.counter-session_total
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_token.derive-bytes_in
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_token.derive-bytes_out
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_token.derive-denied_request
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_token.derive-denied_response
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_token.derive-error_connection
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_token.derive-error_response
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_token.derive-redistributed
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_token.derive-response_1xx
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_token.derive-response_2xx
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_token.derive-response_3xx
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_token.derive-response_4xx
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_token.derive-response_5xx
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_token.derive-response_other
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_token.gauge-queue_current
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_token.gauge-queue_max
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_token.gauge-session_current
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_token.gauge-session_limit
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_token.gauge-session_max
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_token.gauge-session_rate
haproxy,{{ HOSTNAME }}.haproxy-backend-actions_token.gauge-session_rate_max
haproxy,{{ HOSTNAME }}.haproxy-backend-alambic.counter-check_transitions
haproxy,{{ HOSTNAME }}.haproxy-backend-alambic.counter-downtime
haproxy,{{ HOSTNAME }}.haproxy-backend-alambic.counter-retries
haproxy,{{ HOSTNAME }}.haproxy-backend-alambic.counter-session_total
haproxy,{{ HOSTNAME }}.haproxy-backend-alambic.derive-bytes_in
haproxy,{{ HOSTNAME }}.haproxy-backend-alambic.derive-bytes_out
haproxy,{{ HOSTNAME }}.haproxy-backend-alambic.derive-denied_request
haproxy,{{ HOSTNAME }}.haproxy-backend-alambic.derive-denied_response
haproxy,{{ HOSTNAME }}.haproxy-backend-alambic.derive-error_connection
haproxy,{{ HOSTNAME }}.haproxy-backend-alambic.derive-error_response
haproxy,{{ HOSTNAME }}.haproxy-backend-alambic.derive-redistributed
haproxy,{{ HOSTNAME }}.haproxy-backend-alambic.derive-response_1xx
haproxy,{{ HOSTNAME }}.haproxy-backend-alambic.derive-response_2xx
haproxy,{{ HOSTNAME }}.haproxy-backend-alambic.derive-response_3xx
haproxy,{{ HOSTNAME }}.haproxy-backend-alambic.derive-response_4xx
haproxy,{{ HOSTNAME }}.haproxy-backend-alambic.derive-response_5xx
haproxy,{{ HOSTNAME }}.haproxy-backend-alambic.derive-response_other
haproxy,{{ HOSTNAME }}.haproxy-backend-alambic.gauge-queue_current
haproxy,{{ HOSTNAME }}.haproxy-backend-alambic.gauge-queue_max
haproxy,{{ HOSTNAME }}.haproxy-backend-alambic.gauge-session_current
haproxy,{{ HOSTNAME }}.haproxy-backend-alambic.gauge-session_limit
haproxy,{{ HOSTNAME }}.haproxy-backend-alambic.gauge-session_max
haproxy,{{ HOSTNAME }}.haproxy-backend-alambic.gauge-session_rate
haproxy,{{ HOSTNAME }}.haproxy-backend-alambic.gauge-session_rate_max
haproxy,{{ HOSTNAME }}.haproxy-backend-alive.counter-check_transitions
haproxy,{{ HOSTNAME }}.haproxy-backend-alive.counter-downtime
haproxy,{{ HOSTNAME }}.haproxy-backend-alive.counter-retries
haproxy,{{ HOSTNAME }}.haproxy-backend-alive.counter-session_total
haproxy,{{ HOSTNAME }}.haproxy-backend-alive.derive-bytes_in
haproxy,{{ HOSTNAME }}.haproxy-backend-alive.derive-bytes_out
haproxy,{{ HOSTNAME }}.haproxy-backend-alive.derive-denied_request
haproxy,{{ HOSTNAME }}.haproxy-backend-alive.derive-denied_response
haproxy,{{ HOSTNAME }}.haproxy-backend-alive.derive-error_connection
haproxy,{{ HOSTNAME }}.haproxy-backend-alive.derive-error_response
haproxy,{{ HOSTNAME }}.haproxy-backend-alive.derive-redistributed
haproxy,{{ HOSTNAME }}.haproxy-backend-alive.derive-response_1xx
haproxy,{{ HOSTNAME }}.haproxy-backend-alive.derive-response_2xx
haproxy,{{ HOSTNAME }}.haproxy-backend-alive.derive-response_3xx
haproxy,{{ HOSTNAME }}.haproxy-backend-alive.derive-response_4xx
haproxy,{{ HOSTNAME }}.haproxy-backend-alive.derive-response_5xx
haproxy,{{ HOSTNAME }}.haproxy-backend-alive.derive-response_other
haproxy,{{ HOSTNAME }}.haproxy-backend-alive.gauge-queue_current
haproxy,{{ HOSTNAME }}.haproxy-backend-alive.gauge-queue_max
haproxy,{{ HOSTNAME }}.haproxy-backend-alive.gauge-session_current
haproxy,{{ HOSTNAME }}.haproxy-backend-alive.gauge-session_limit
